"","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site","ID","pwy","Type","pheno_Count","pair"
"16","Ethnicity","South East Asian",-1.00348106629464,0.221883977803513,394,391,1.05764470292719e-05,0.000807335456567757,"Ac","PWY-4242","pantothenate and coenzyme A biosynthesis III","conserved",40,"PWY-4242-Ethnicity"
"17","Ethnicity","South East Asian",-0.987424662542586,0.220455248480671,394,385,1.27328653990226e-05,0.000833093193250339,"Ac","P108-PWY","pyruvate fermentation to propanoate I","conserved",40,"P108-PWY-Ethnicity"
"18","Ethnicity","South East Asian",-0.712067050665486,0.161343272165181,394,390,1.68957694436621e-05,0.000859806933910803,"Ac","GLUTORN-PWY","L-ornithine biosynthesis","conserved",40,"GLUTORN-PWY-Ethnicity"
"19","Ethnicity","South East Asian",-0.70737586349151,0.167831024798633,394,393,3.82808009753315e-05,0.00159387334970017,"Ac","NONMEVIPP-PWY","methylerythritol phosphate pathway I","conserved",40,"NONMEVIPP-PWY-Ethnicity"
"20","Ethnicity","South East Asian",-1.13394341004556,0.268360207795257,394,371,3.65875987202115e-05,0.00159387334970017,"Ac","PWY-5989","stearate biosynthesis II (bacteria and plants)","variable",40,"PWY-5989-Ethnicity"
"21","Ethnicity","South East Asian",-0.858832735298602,0.212888891398346,394,392,7.85327530792818e-05,0.00173511457033425,"Ac","COA-PWY","coenzyme A biosynthesis I","conserved",40,"COA-PWY-Ethnicity"
"22","Ethnicity","South East Asian",-1.04313363425407,0.254190709880039,394,374,5.97298306619114e-05,0.00173511457033425,"Ac","FASYN-ELONG-PWY","fatty acid elongation -- saturated","variable",40,"FASYN-ELONG-PWY-Ethnicity"
"23","Ethnicity","South East Asian",-0.75733811736338,0.186100216008755,394,390,6.8455278379438e-05,0.00173511457033425,"Ac","HISTSYN-PWY","L-histidine biosynthesis","conserved",40,"HISTSYN-PWY-Ethnicity"
"24","Ethnicity","South East Asian",-0.724771938359537,0.1781605220546,394,392,6.88672493985693e-05,0.00173511457033425,"Ac","PWY-6270","isoprene biosynthesis I","conserved",40,"PWY-6270-Ethnicity"
"25","Ethnicity","South East Asian",-1.09060266950124,0.267894668662209,394,372,6.79825750784517e-05,0.00173511457033425,"Ac","PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","variable",40,"PWY-6282-Ethnicity"
"26","Ethnicity","South East Asian",-0.736476842909394,0.179911809887698,394,392,6.2240692146646e-05,0.00173511457033425,"Ac","PWY-7560","methylerythritol phosphate pathway II","conserved",40,"PWY-7560-Ethnicity"
"27","Ethnicity","South East Asian",-1.03875192840113,0.258309911098613,394,375,8.24574965651973e-05,0.00173511457033425,"Ac","PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","conserved",40,"PWY4FS-7-Ethnicity"
"28","Ethnicity","South East Asian",-1.03868665297098,0.258003754851249,394,375,8.10098628898123e-05,0.00173511457033425,"Ac","PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)","conserved",40,"PWY4FS-8-Ethnicity"
"29","Ethnicity","South East Asian",-0.553115642561399,0.139144576179045,394,393,9.91709545112528e-05,0.00174693450639053,"Ac","DAPLYSINESYN-PWY","L-lysine biosynthesis I","conserved",40,"DAPLYSINESYN-PWY-Ethnicity"
"30","Ethnicity","South East Asian",0.452171752623498,0.113558434919874,394,392,9.63114843759804e-05,0.00174693450639053,"Ac","ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)","conserved",40,"ILEUSYN-PWY-Ethnicity"
"31","Ethnicity","South East Asian",0.594022709818665,0.149217108438876,394,391,9.67785621224393e-05,0.00174693450639053,"Ac","PWY-6124","inosine-5'-phosphate biosynthesis II","conserved",40,"PWY-6124-Ethnicity"
"32","Ethnicity","South East Asian",-1.06596340725146,0.268009256516931,394,372,9.81690160854298e-05,0.00174693450639053,"Ac","PWY-7664","oleate biosynthesis IV (anaerobic)","variable",40,"PWY-7664-Ethnicity"
"33","Ethnicity","South East Asian",0.452758505941428,0.115739834704231,394,393,0.000126215973798427,0.00206453271427427,"Ac","VALSYN-PWY","L-valine biosynthesis","conserved",40,"VALSYN-PWY-Ethnicity"
"34","Ethnicity","South East Asian",-1.12663196004271,0.290121010635111,394,369,0.000140786423307507,0.00206475129184419,"Ac","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","variable",40,"GLYCOGENSYNTH-PWY-Ethnicity"
"35","Ethnicity","South East Asian",0.710100737185686,0.18315550408928,394,391,0.000144262098993481,0.00206475129184419,"Ac","PANTO-PWY","phosphopantothenate biosynthesis I","conserved",40,"PANTO-PWY-Ethnicity"
"36","Ethnicity","South East Asian",0.508505368422203,0.130656375631685,394,393,0.000136279366417667,0.00206475129184419,"Ac","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","conserved",40,"PWY-6122-Ethnicity"
"37","Ethnicity","South East Asian",0.508505368422203,0.130656375631685,394,393,0.000136279366417667,0.00206475129184419,"Ac","PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","conserved",40,"PWY-6277-Ethnicity"
"38","Ethnicity","South East Asian",0.462035237104167,0.120651889899705,394,392,0.000172799945449063,0.00226121071473345,"Ac","BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched amino acid biosynthesis","conserved",40,"BRANCHED-CHAIN-AA-SYN-PWY-Ethnicity"
"39","Ethnicity","South East Asian",0.454378608187086,0.119086009650508,394,393,0.000182172332259846,0.00231763689375027,"Ac","PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I","conserved",40,"PWY-6121-Ethnicity"
"40","Ethnicity","South East Asian",-0.717303727073005,0.189085830472682,394,393,0.00019799516148775,0.00245085902598351,"Ac","PWY-6897","thiamin salvage II","conserved",40,"PWY-6897-Ethnicity"
"41","Ethnicity","South East Asian",0.50683765390883,0.134198854358145,394,391,0.000210876542522914,0.00254161727567092,"Ac","PWY-6123","inosine-5'-phosphate biosynthesis I","conserved",40,"PWY-6123-Ethnicity"
"42","Ethnicity","South East Asian",-0.625876370017695,0.167678358282297,394,391,0.000248318387919541,0.00277821984126888,"Ac","PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","conserved",40,"PWY-6147-Ethnicity"
"43","Ethnicity","South East Asian",-0.873647506718083,0.234056813986482,394,383,0.000248282439398656,0.00277821984126888,"Ac","PWY0-1415","superpathway of heme biosynthesis from uroporphyrinogen-III","conserved",40,"PWY0-1415-Ethnicity"
"44","Ethnicity","South East Asian",1.27195875137033,0.342132403950588,394,381,0.000262247529047475,0.00285974686437485,"Ac","SO4ASSIM-PWY","sulfate reduction I (assimilatory)","conserved",40,"SO4ASSIM-PWY-Ethnicity"
"45","Ethnicity","South East Asian",-0.7359087792808,0.200360167436146,394,394,0.000310020352362527,0.00322703003140993,"Ac","PWY-6609","adenine and adenosine salvage III","conserved",40,"PWY-6609-Ethnicity"
"46","Ethnicity","South East Asian",0.577602372104406,0.160822663432567,394,390,0.000415908315349027,0.00423302240955232,"Ac","PWY-7234","inosine-5'-phosphate biosynthesis III","conserved",40,"PWY-7234-Ethnicity"
"47","Ethnicity","South East Asian",-1.18514224084911,0.330641061751511,394,376,0.00042631242818825,0.00424458895891779,"Ac","PWY-6803","phosphatidylcholine acyl editing","conserved",40,"PWY-6803-Ethnicity"
"48","Ethnicity","South East Asian",0.474630879950803,0.134432683638097,394,392,0.000516809009707144,0.00503613886055047,"Ac","PWY-5103","L-isoleucine biosynthesis III","conserved",40,"PWY-5103-Ethnicity"
"49","Ethnicity","South East Asian",-0.9601686618605,0.272935749261868,394,369,0.000542854934379249,0.00507403183562645,"Ac","PWYG-321","mycolate biosynthesis","variable",40,"PWYG-321-Ethnicity"
"50","Ethnicity","South East Asian",-0.948292966941883,0.271566928982825,394,374,0.000593110843629351,0.00543289532764486,"Ac","PWY0-862","(5Z)-dodec-5-enoate biosynthesis","variable",40,"PWY0-862-Ethnicity"
"51","Ethnicity","South East Asian",0.872830410058688,0.251641144930222,394,382,0.000643501839252015,0.00568968525796329,"Ac","PWY-6700","queuosine biosynthesis","conserved",40,"PWY-6700-Ethnicity"
"52","Ethnicity","South East Asian",0.49190426468565,0.142975132534473,394,391,0.000709569335765491,0.00613175010906783,"Ac","PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I","conserved",40,"PWY-7229-Ethnicity"
"53","Ethnicity","South East Asian",-0.393155167360982,0.115991436795487,394,391,0.000845699082881555,0.00701951435731412,"Ac","PWY-5686","UMP biosynthesis","conserved",40,"PWY-5686-Ethnicity"
"54","Ethnicity","South East Asian",-0.710489011420669,0.209406250770294,394,388,0.000837214165178971,0.00701951435731412,"Ac","PWY-7199","pyrimidine deoxyribonucleosides salvage","conserved",40,"PWY-7199-Ethnicity"
"55","Ethnicity","South East Asian",-0.780176060633508,0.233230890424015,394,384,0.000987515244566043,0.00766579630527539,"Ac","PWY-7663","gondoate biosynthesis (anaerobic)","conserved",40,"PWY-7663-Ethnicity"
"56","Ethnicity","South East Asian",0.440357868198645,0.132112664368459,394,391,0.00102653498739862,0.00783588373714277,"Ac","PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II","conserved",40,"PWY-6126-Ethnicity"
"57","Ethnicity","South East Asian",-0.52771798515525,0.159198750526965,394,389,0.00109165240090617,0.0081963409772955,"Ac","PWY0-162","superpathway of pyrimidine ribonucleotides de novo biosynthesis","conserved",40,"PWY0-162-Ethnicity"
"58","Ethnicity","South East Asian",-0.382484042154785,0.115712338361415,394,393,0.00112970396907313,0.00834523254573378,"Ac","PWY-5097","L-lysine biosynthesis VI","conserved",40,"PWY-5097-Ethnicity"
"59","Ethnicity","South East Asian",0.475554776415629,0.144545983487299,394,392,0.00118814416432012,0.00863761948029544,"Ac","PWY-7111","pyruvate fermentation to isobutanol (engineered)","conserved",40,"PWY-7111-Ethnicity"
"60","Ethnicity","South East Asian",-0.54992511068618,0.168387325208713,394,393,0.00128871449878789,0.00903412066381049,"Ac","PWY-7357","thiamin formation from pyrithiamine and oxythiamine (yeast)","conserved",40,"PWY-7357-Ethnicity"
"61","Ethnicity","South East Asian",-0.479072074248315,0.146497444626977,394,393,0.00127245967654056,0.00903412066381049,"Ac","UDPNAGSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis I","conserved",40,"UDPNAGSYN-PWY-Ethnicity"
"62","Ethnicity","South East Asian",-0.617337154747755,0.190706676179907,394,386,0.0014190844249924,0.00941942995139884,"Ac","PWY-5154","L-arginine biosynthesis III (via N-acetyl-L-citrulline)","conserved",40,"PWY-5154-Ethnicity"
"63","Ethnicity","South East Asian",0.420425265266116,0.129773063383041,394,388,0.00140602160529269,0.00941942995139884,"Ac","PWY-841","superpathway of purine nucleotides de novo biosynthesis I","conserved",40,"PWY-841-Ethnicity"
"64","Ethnicity","South East Asian",-0.339596828891572,0.106147136342931,394,388,0.00160841180202606,0.0105236086475419,"Ac","PWY-7400","L-arginine biosynthesis IV (archaebacteria)","conserved",40,"PWY-7400-Ethnicity"
"65","Ethnicity","South East Asian",1.00154323867835,0.316494086494782,394,376,0.00180138466271597,0.0116201996552664,"Ac","PWY-6703","preQ0 biosynthesis","variable",40,"PWY-6703-Ethnicity"
"66","Ethnicity","South Asian",-0.338380001838726,0.107202019432459,394,392,0.00185023734934658,0.0117695653611213,"Ac","COA-PWY-1","coenzyme A biosynthesis II (mammalian)","conserved",40,"COA-PWY-1-Ethnicity"
"67","Ethnicity","South East Asian",-0.924549031660695,0.296639797436726,394,381,0.00210338043334377,0.013125053693312,"Ac","PWY-5695","urate biosynthesis/inosine 5'-phosphate degradation","conserved",40,"PWY-5695-Ethnicity"
"68","Ethnicity","South East Asian",-0.893799420510189,0.287008345046791,394,382,0.00212064186311154,0.013125053693312,"Ac","PWY0-1479","tRNA processing","conserved",40,"PWY0-1479-Ethnicity"
"69","Ethnicity","South East Asian",-0.625782913145177,0.202044857319098,394,389,0.00224078033957648,0.0136836986070137,"Ac","HEMESYN2-PWY","heme biosynthesis II (anaerobic)","conserved",40,"HEMESYN2-PWY-Ethnicity"
"70","Ethnicity","South Asian",-0.575747549226999,0.188824496620194,394,393,0.00261501657138632,0.0155542544116225,"Ac","PWY-6897","thiamin salvage II","conserved",40,"PWY-6897-Ethnicity"
"71","Ethnicity","South East Asian",-0.832932734030996,0.274148891512405,394,383,0.00270549666719629,0.0156850313110873,"Ac","PWY-5136","fatty acid &beta;-oxidation II (peroxisome)","conserved",40,"PWY-5136-Ethnicity"
"72","Ethnicity","South East Asian",-0.32353524226411,0.106450325397765,394,392,0.00269467428364479,0.0156850313110873,"Ac","THRESYN-PWY","superpathway of L-threonine biosynthesis","conserved",40,"THRESYN-PWY-Ethnicity"
"73","Ethnicity","South East Asian",-0.847905339011688,0.282259101143144,394,371,0.00301278969589906,0.0172482210090221,"Ac","PWY-7388","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","variable",40,"PWY-7388-Ethnicity"
"74","Ethnicity","South East Asian",0.362885748828733,0.121718473057999,394,391,0.00323353219209758,0.0176304493331035,"Ac","PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II","conserved",40,"PWY-6125-Ethnicity"
"75","Ethnicity","South Asian",-0.501764317752517,0.168141452162568,394,393,0.0032078150372554,0.0176304493331035,"Ac","PWY-7357","thiamin formation from pyrithiamine and oxythiamine (yeast)","conserved",40,"PWY-7357-Ethnicity"
"76","Ethnicity","South East Asian",-0.475088999449626,0.158755236576523,394,394,0.00312861821845371,0.0176304493331035,"Ac","SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I","conserved",40,"SER-GLYSYN-PWY-Ethnicity"
"77","Ethnicity","South Asian",1.01917337706726,0.341337596797647,394,381,0.00319115741356806,0.0176304493331035,"Ac","SO4ASSIM-PWY","sulfate reduction I (assimilatory)","conserved",40,"SO4ASSIM-PWY-Ethnicity"
"78","Ethnicity","South East Asian",1.01329283169379,0.343729437031739,394,368,0.00358624218073288,0.0186647604406325,"Ac","ARGININE-SYN4-PWY","L-ornithine de novo  biosynthesis","variable",40,"ARGININE-SYN4-PWY-Ethnicity"
"79","Ethnicity","South East Asian",0.392823102113554,0.133101961465966,394,389,0.00355105746684949,0.0186647604406325,"Ac","PWY-4981","L-proline biosynthesis II (from arginine)","conserved",40,"PWY-4981-Ethnicity"
"80","Ethnicity","South East Asian",-0.736747355806544,0.250737740953417,394,386,0.00369864763312143,0.018920032021069,"Ac","GLYOXYLATE-BYPASS","glyoxylate cycle","conserved",40,"GLYOXYLATE-BYPASS-Ethnicity"
"81","Ethnicity","South East Asian",-0.765404497806986,0.263622089132619,394,385,0.00411652730719663,0.0207183462274292,"Ac","FAO-PWY","fatty acid &beta;-oxidation I","conserved",40,"FAO-PWY-Ethnicity"
"82","Ethnicity","South East Asian",-0.616878819196682,0.214254373077619,394,385,0.00443051638815837,0.0215869841040057,"Ac","PWY-6385","peptidoglycan biosynthesis III (mycobacteria)","conserved",40,"PWY-6385-Ethnicity"
"83","Ethnicity","South East Asian",-0.347968090589884,0.121802192626376,394,387,0.00474431915656732,0.0228726123548193,"Ac","1CMET2-PWY","N10-formyl-tetrahydrofolate biosynthesis","conserved",40,"1CMET2-PWY-Ethnicity"
"84","Ethnicity","South East Asian",-0.696847956452757,0.246211709039412,394,384,0.00513835295616129,0.0245142255616861,"Ac","PWY66-389","phytol degradation","conserved",40,"PWY66-389-Ethnicity"
"85","Ethnicity","South East Asian",-0.712407850349663,0.25430697416431,394,373,0.00560140306351438,0.0264064016695936,"Ac","PWY-5973","cis-vaccenate biosynthesis","variable",40,"PWY-5973-Ethnicity"
"86","Ethnicity","South East Asian",-0.60940449918132,0.218514595820494,394,385,0.00581577387007896,0.0267458771397821,"Ac","HSERMETANA-PWY","L-methionine biosynthesis III","conserved",40,"HSERMETANA-PWY-Ethnicity"
"87","Ethnicity","South Asian",0.754462674509118,0.270682961732625,394,361,0.0058397111658913,0.0267458771397821,"Ac","PWY-5345","superpathway of L-methionine biosynthesis (by sulfhydrylation)","variable",40,"PWY-5345-Ethnicity"
"88","Ethnicity","South East Asian",-0.71718753185459,0.260966949497235,394,378,0.00655540149088116,0.0291492609982871,"Ac","ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","variable",40,"ASPASN-PWY-Ethnicity"
"89","Ethnicity","South East Asian",-0.327936790279447,0.119313984428129,394,392,0.00654994948864396,0.0291492609982871,"Ac","PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I","conserved",40,"PWY-7184-Ethnicity"
"90","Ethnicity","South Asian",-0.312503332951646,0.115505439431329,394,393,0.00743124652309697,0.0316444966518819,"Ac","PWY-5097","L-lysine biosynthesis VI","conserved",40,"PWY-5097-Ethnicity"
"91","Ethnicity","South East Asian",1.10539595352478,0.410306518691972,394,314,0.00766929940689714,0.0316444966518819,"Ac","PWY-5791","1,4-dihydroxy-2-naphthoate biosynthesis II (plants)","variable",40,"PWY-5791-Ethnicity"
"92","Ethnicity","South East Asian",1.10539595352478,0.410306518691972,394,314,0.00766929940689714,0.0316444966518819,"Ac","PWY-5837","1,4-dihydroxy-2-naphthoate biosynthesis I","variable",40,"PWY-5837-Ethnicity"
"93","Ethnicity","South East Asian",0.988381118766929,0.364735239523695,394,314,0.0073270814866075,0.0316444966518819,"Ac","PWY-5897","superpathway of menaquinol-11 biosynthesis","variable",40,"PWY-5897-Ethnicity"
"94","Ethnicity","South East Asian",0.988381118766929,0.364735239523695,394,314,0.0073270814866075,0.0316444966518819,"Ac","PWY-5898","superpathway of menaquinol-12 biosynthesis","variable",40,"PWY-5898-Ethnicity"
"95","Ethnicity","South East Asian",0.988381118766929,0.364735239523695,394,314,0.0073270814866075,0.0316444966518819,"Ac","PWY-5899","superpathway of menaquinol-13 biosynthesis","variable",40,"PWY-5899-Ethnicity"
"96","Ethnicity","South East Asian",-0.325424766784859,0.12100332800382,394,393,0.00777898837016575,0.0318105060137135,"Ac","PWY-3841","folate transformations II","conserved",40,"PWY-3841-Ethnicity"
"97","Ethnicity","South East Asian",-0.310561309115673,0.116600140427708,394,392,0.00838134001229184,0.0339703869524749,"Ac","PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","conserved",40,"PWY0-166-Ethnicity"
"98","Ethnicity","South Asian",-0.362829597569154,0.138930904996928,394,393,0.0097206177528187,0.0376835743001004,"Ac","DAPLYSINESYN-PWY","L-lysine biosynthesis I","conserved",40,"DAPLYSINESYN-PWY-Ethnicity"
"99","Ethnicity","South East Asian",-0.271510280115844,0.105523489522886,394,389,0.0108264647877555,0.0406436137114098,"Ac","ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)","conserved",40,"ARGSYN-PWY-Ethnicity"
"100","Ethnicity","South East Asian",0.849540686149257,0.33176906695168,394,361,0.0112042233860782,0.0410522744865904,"Ac","PWY-2941","L-lysine biosynthesis II","variable",40,"PWY-2941-Ethnicity"
"101","Ethnicity","South East Asian",-0.7184874755296,0.280392459077733,394,374,0.0111481431338191,0.0410522744865904,"Ac","PWY0-1261","anhydromuropeptides recycling","variable",40,"PWY0-1261-Ethnicity"
"102","Ethnicity","South East Asian",-0.937480104713693,0.369603780109808,394,372,0.0119737113118699,0.0431807856758772,"Ac","PWY-5005","biotin biosynthesis II","variable",40,"PWY-5005-Ethnicity"
"103","Ethnicity","South East Asian",-0.61939047889202,0.245469960178164,394,378,0.0124205754951947,0.0443391932545075,"Ac","FASYN-INITIAL-PWY","superpathway of fatty acid biosynthesis initiation (E. coli)","conserved",40,"FASYN-INITIAL-PWY-Ethnicity"
"104","Ethnicity","South Asian",-0.511754872946491,0.20296141455628,394,392,0.0124885500651342,0.0443391932545075,"Ac","NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)","conserved",40,"NONOXIPENT-PWY-Ethnicity"
"105","Ethnicity","South East Asian",-0.364711493603879,0.14663351499016,394,388,0.0137114820406076,0.0475746876863507,"Ac","PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","conserved",40,"PWY-6386-Ethnicity"
"106","Ever_had_acne","Yes",0.297569280809058,0.0936343325169925,394,387,0.00172941412372174,0.01535022613691,"Ac","1CMET2-PWY","N10-formyl-tetrahydrofolate biosynthesis","conserved",96,"1CMET2-PWY-Ever_had_acne"
"107","Gender","Male",0.87043946996823,0.160770090238144,394,392,1.78236241336354e-07,2.50890100608478e-05,"Ac","COA-PWY","coenzyme A biosynthesis I","conserved",96,"COA-PWY-Gender"
"108","Gender","Male",0.468745150225772,0.0895139462314023,394,393,4.19551512904255e-07,2.50890100608478e-05,"Ac","PWY-3841","folate transformations II","conserved",96,"PWY-3841-Gender"
"109","Gender","Male",0.876595008960739,0.170031021165388,394,391,6.13999707854279e-07,2.50890100608478e-05,"Ac","PWY-4242","pantothenate and coenzyme A biosynthesis III","conserved",96,"PWY-4242-Gender"
"110","Gender","Male",-1.00252138465688,0.188166353852582,394,382,2.70481811804373e-07,2.50890100608478e-05,"Ac","PWY-6700","queuosine biosynthesis","conserved",96,"PWY-6700-Gender"
"111","Gender","Male",0.740484603493601,0.144030876523323,394,393,6.57353975393392e-07,2.50890100608478e-05,"Ac","PWY-6897","thiamin salvage II","conserved",96,"PWY-6897-Gender"
"112","Gender","Male",0.46040431737091,0.0889443637978215,394,392,5.58246552510634e-07,2.50890100608478e-05,"Ac","PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I","conserved",96,"PWY-7184-Gender"
"113","Gender","Male",0.434129309517599,0.0869603983636433,394,392,1.31365715052276e-06,4.2975355352816e-05,"Ac","PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","conserved",96,"PWY0-166-Gender"
"114","Gender","Male",0.633873448675135,0.128742250331171,394,393,1.80226526549175e-06,4.79150200225468e-05,"Ac","NONMEVIPP-PWY","methylerythritol phosphate pathway I","conserved",96,"NONMEVIPP-PWY-Gender"
"115","Gender","Male",0.426356139389482,0.08782063029685,394,393,2.46295874702877e-06,5.64017553069589e-05,"Ac","PWY-5097","L-lysine biosynthesis VI","conserved",96,"PWY-5097-Gender"
"116","Gender","Male",0.614721849426921,0.128250744775707,394,393,3.22992491499405e-06,6.72411641394217e-05,"Ac","PWY-7357","thiamin formation from pyrithiamine and oxythiamine (yeast)","conserved",96,"PWY-7357-Gender"
"117","Gender","Male",-1.13200596455484,0.238389678861557,394,376,3.93838964787042e-06,7.51576024468605e-05,"Ac","PWY-6703","preQ0 biosynthesis","variable",96,"PWY-6703-Gender"
"118","Gender","Male",0.502174769691199,0.106948725704526,394,393,4.99885384894311e-06,8.28570942024917e-05,"Ac","DAPLYSINESYN-PWY","L-lysine biosynthesis I","conserved",96,"DAPLYSINESYN-PWY-Gender"
"119","Gender","Male",-0.772595685672523,0.164681789452128,394,378,5.06549920888596e-06,8.28570942024917e-05,"Ac","TRPSYN-PWY","L-tryptophan biosynthesis","conserved",96,"TRPSYN-PWY-Gender"
"120","Gender","Male",0.735828431822982,0.158881256491011,394,388,6.59619913580046e-06,0.00010070197347322,"Ac","PWY-7199","pyrimidine deoxyribonucleosides salvage","conserved",96,"PWY-7199-Gender"
"121","Gender","Male",0.703968792595112,0.152468910816153,394,394,7.03978457193994e-06,0.00010075691668589,"Ac","PWY-6609","adenine and adenosine salvage III","conserved",96,"PWY-6609-Gender"
"122","Gender","Male",0.509019682716288,0.110835884004244,394,393,7.84696225475875e-06,0.00010570319743175,"Ac","UDPNAGSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis I","conserved",96,"UDPNAGSYN-PWY-Gender"
"123","Gender","Male",0.63415628941675,0.138593866991221,394,392,8.41630237348809e-06,0.000107074069084932,"Ac","PWY-7560","methylerythritol phosphate pathway II","conserved",96,"PWY-7560-Gender"
"124","Gender","Male",0.620463145533056,0.137215646985855,394,392,1.06097200558514e-05,0.000127875046988946,"Ac","PWY-6270","isoprene biosynthesis I","conserved",96,"PWY-6270-Gender"
