"","ID","metadata","Dermotype_size","coef","stderr","N","N.not.0","pval","qval","Site","class","Superclass1","Superclass2","Superclass3","Superclass4","label_1","label_2","pwy","prev","HighPrev","Type","ave_abund","rank","percentile","Subclass"
"11","FASYN-ELONG-PWY","binary_outcome","Ac-1",0.854211901783719,0.231720197456087,394,374,0.000260777254137878,0.00219551438226375,"Ac","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis",NA,"Lipid-Syn","Fatty-Acid-Syn","fatty acid elongation -- saturated",0.945454545454545,"N","variable",0.00230934537932423,111,0.794007490636704,"Lipid metabolism"
"12","FASYN-INITIAL-PWY","binary_outcome","Ac-1",0.624587890638893,0.226852759060901,394,378,0.00618877462869303,0.028119630753387,"Ac","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis",NA,"Lipid-Syn","Fatty-Acid-Syn","superpathway of fatty acid biosynthesis initiation (E. coli)",0.954545454545455,"Y","conserved",0.00202542230425117,124,0.769662921348315,"Lipid metabolism"
"13","FERMENTATION-PWY","binary_outcome","Ac-1",0.98747952365666,0.304178788987955,394,354,0.00127575315526153,0.00772876911520873,"Ac","Energy-Metabolism|Fermentation","Energy-Metabolism","Fermentation",NA,NA,"Fermentation"," ","mixed acid fermentation",0.909090909090909,"N","all_low",0.000957300330738465,183,0.659176029962547,"Energy metabolism"
"14","GLCMANNANAUT-PWY","binary_outcome","Ac-1",-2.45885856932437,0.395268215948732,394,325,1.38947377042122e-09,3.53543881584954e-08,"Ac","Degradation|AMINE-DEG","Degradation","AMINE-DEG",NA,NA,"Amine-Deg"," ","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.796969696969697,"N","variable",0.00120229481052576,167,0.689138576779026,"Amine metabolism"
"15","GLUCONEO-PWY","binary_outcome","Ac-1",0.870813597988962,0.333591795609015,394,340,0.00941911076086045,0.0387945389251267,"Ac","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|Gluconeogenesis","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","Gluconeogenesis","Carbohydrates-Syn","Carbo-Syn","gluconeogenesis I",0.878787878787879,"N","all_low",0.0010142202179288,177,0.670411985018727,"Carbohydrate metabolism"
"16","GLUTORN-PWY","binary_outcome","Ac-1",0.947387795687089,0.147933859406286,394,390,4.79470270135414e-10,1.30712728405964e-08,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","Other-Amino-Acid-Biosynthesis",NA,"Amino-Acid-Syn","Other-Amino-Acid-Syn","L-ornithine biosynthesis",0.990909090909091,"Y","conserved",0.00445480728806676,72,0.867041198501873,"Amino acid metabolism"
"17","GLYCOGENSYNTH-PWY","binary_outcome","Ac-1",0.862803599585494,0.279628442821426,394,369,0.00218672927992308,0.012037524161115,"Ac","Biosynthesis|Carbohydrates-Biosynthesis|Polysaccharides-Biosynthesis|GLYCOGEN-BIOSYN","Biosynthesis","Carbohydrates-Biosynthesis","Polysaccharides-Biosynthesis","GLYCOGEN-BIOSYN","Carbohydrates-Syn","Polysaccharides-Syn","glycogen biosynthesis I (from ADP-D-Glucose)",0.933333333333333,"N","variable",0.00117379181993319,170,0.683520599250936,"Carbohydrate metabolism"
"18","HEMESYN2-PWY","binary_outcome","Ac-1",0.775890586860816,0.174614824617828,394,389,1.15732751303163e-05,0.000165412796325495,"Ac","Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis|HEME-SYN","Biosynthesis","Cofactor-Biosynthesis","Porphyrin-Compounds-Biosynthesis","HEME-SYN","Cofactor-Syn","Porphyrin-Compounds-Syn","heme biosynthesis II (anaerobic)",0.987878787878788,"Y","conserved",0.0032820807095645,81,0.850187265917603,"Cofactor Syn"
"19","HISDEG-PWY","binary_outcome","Ac-1",0.761853737908969,0.133902123922209,394,391,2.60997232654381e-08,6.49656155194056e-07,"Ac","Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|HISTIDINE-DEG","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation","HISTIDINE-DEG","Amino-Acid-Deg","Proteinogenic-Amino-Acids-Deg","L-histidine degradation I",0.990909090909091,"Y","conserved",0.0078477653080255,46,0.915730337078652,"Amino acid metabolism"
"20","HISTSYN-PWY","binary_outcome","Ac-1",1.42657025666943,0.150653099785105,394,390,5.70626429377121e-19,3.84333683315767e-17,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|HISTIDINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","HISTIDINE-SYN","Amino-Acid-Syn","Histidine-Syn","L-histidine biosynthesis",0.987878787878788,"Y","conserved",0.0139349758894168,15,0.973782771535581,"Amino acid metabolism"
"21","HOMOSER-METSYN-PWY","binary_outcome","Ac-1",1.19871491115438,0.431788550947239,394,284,0.00579871225442693,0.0265581021252754,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Amino-Acid-Syn","Methionine-Syn","L-methionine biosynthesis I",0.736363636363636,"N","all_low",0.000570696444359073,209,0.610486891385768,"Amino acid metabolism"
"22","HSERMETANA-PWY","binary_outcome","Ac-1",1.07535247953509,0.199918627361929,394,385,1.32458009317694e-07,2.91662347439921e-06,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Amino-Acid-Syn","Methionine-Syn","L-methionine biosynthesis III",0.972727272727273,"Y","conserved",0.00329864252888398,80,0.852059925093633,"Amino acid metabolism"
"23","ILEUSYN-PWY","binary_outcome","Ac-1",-0.663748990908495,0.095560969419102,394,392,1.598559501675e-11,5.54651705884205e-10,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","ISOLEUCINE-SYN","Amino-Acid-Syn","Isoleucine-Syn","L-isoleucine biosynthesis I (from threonine)",0.993939393939394,"Y","conserved",0.00949750370851095,33,0.940074906367041,"Amino acid metabolism"
"24","KETOGLUCONMET-PWY","binary_outcome","Ac-1",1.02764364388343,0.36494225478301,394,312,0.00514171984858825,0.02402967031279,"Ac","Degradation|CARBOXYLATES-DEG|SUGAR-ACIDS-DEG","Degradation","CARBOXYLATES-DEG","SUGAR-ACIDS-DEG",NA,"Carboxylates-Deg","Sugar-Acids-Deg","ketogluconate metabolism",0.8,"N","all_low",0.000521342040651841,214,0.601123595505618,"Carboxylates Deg"
"25","LACTOSECAT-PWY","binary_outcome","Ac-1",-3.94506044458398,0.335303358209314,394,364,4.0448604240651e-27,9.26273037110907e-25,"Ac","Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|LACTOSE-DEG","Degradation","Carbohydrates-Degradation","Sugars-And-Polysaccharides-Degradation","LACTOSE-DEG","Carbohydrates-Deg","Sugars&Polysaccharides-Deg","lactose and galactose degradation I",0.909090909090909,"N","variable",0.00129737769849785,162,0.698501872659176,"Carbohydrate metabolism"
"26","MET-SAM-PWY","binary_outcome","Ac-1",1.13414793140411,0.432271961311758,394,284,0.0090822195983058,0.0378150597820369,"Ac","Super-Pathways","Super-Pathways",NA,NA,NA,"Other Super-Pathways","S-Adenosyl-L-Methionine Syn","superpathway of S-adenosyl-L-methionine biosynthesis",0.736363636363636,"N","all_low",0.000900659361732962,191,0.644194756554307,"Amino acid metabolism"
"27","METSYN-PWY","binary_outcome","Ac-1",1.14221209912004,0.420239956616673,394,284,0.00689659003047892,0.0307260528595267,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Amino-Acid-Syn","Methionine-Syn","L-homoserine and L-methionine biosynthesis",0.736363636363636,"N","all_low",0.000984796371265989,180,0.664794007490637,"Amino acid metabolism"
"28","NAGLIPASYN-PWY","binary_outcome","Ac-1",0.798356518006142,0.274060419096333,394,364,0.00378600659439768,0.0187661365826205,"Ac","Biosynthesis|Lipid-Biosynthesis","Biosynthesis","Lipid-Biosynthesis",NA,NA,"Lipid-Syn"," ","lipid IVA biosynthesis",0.924242424242424,"N","all_low",0.00101248174147965,178,0.668539325842697,"Lipid metabolism"
"29","NONMEVIPP-PWY","binary_outcome","Ac-1",1.45403666940022,0.108938647377662,394,393,1.66384723904492e-33,9.52552544353219e-31,"Ac","Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Terpenoid-Biosynthesis|ISOPRENOIDS|Isopentenyl-Diphosphate-Biosynthesis","Biosynthesis","SECONDARY-METABOLITE-BIOSYNTHESIS","Terpenoid-Biosynthesis","ISOPRENOIDS","Secondary-Metabolite-Syn","Terpenoid-Syn","methylerythritol phosphate pathway I",0.996969696969697,"Y","conserved",0.013283273601324,19,0.966292134831461,"Secondary metabolite metabolism"
"30","NONOXIPENT-PWY","binary_outcome","Ac-1",-1.10726365371014,0.155279062777977,394,392,5.07109650597035e-12,1.87303403204389e-10,"Ac","Energy-Metabolism|Pentose-Phosphate-Cycle","Energy-Metabolism","Pentose-Phosphate-Cycle",NA,NA,"Pentose-Phosphate-Cycle"," ","pentose phosphate pathway (non-oxidative branch)",0.993939393939394,"Y","conserved",0.00750178058938494,49,0.910112359550562,"Energy metabolism"
"31","P105-PWY","binary_outcome","Ac-1",1.02819983073004,0.270837313380143,394,368,0.00017070208211671,0.00155122130177486,"Ac","Energy-Metabolism|TCA-VARIANTS","Energy-Metabolism","TCA-VARIANTS",NA,NA,"Tca-Variants"," ","TCA cycle IV (2-oxoglutarate decarboxylase)",0.942424242424242,"N","all_low",0.00196845570807777,131,0.756554307116105,"Energy metabolism"
"32","P108-PWY","binary_outcome","Ac-1",1.27761229267798,0.200973557560084,394,385,6.3363802954769e-10,1.68724545077234e-08,"Ac","Energy-Metabolism|Fermentation|Pyruvate-Degradation","Energy-Metabolism","Fermentation","Pyruvate-Degradation",NA,"Fermentation","Pyruvate-Deg","pyruvate fermentation to propanoate I",0.978787878787879,"Y","conserved",0.00490883646526079,69,0.872659176029963,"Energy metabolism"
"33","P4-PWY","binary_outcome","Ac-1",1.18091164393975,0.391905871096561,394,284,0.00277346965354667,0.0143046069968961,"Ac","Biosynthesis|Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",NA,NA,"Amino-Acid-Syn"," ","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0.736363636363636,"N","all_low",0.00188406237202924,136,0.747191011235955,"Amino acid metabolism"
"34","PANTO-PWY","binary_outcome","Ac-1",-1.51385974016486,0.141509750153229,394,391,1.76690845902688e-23,2.24790020620642e-21,"Ac","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Pantothenate-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Pantothenate-Biosynthesis","Vitamin-Syn","Pantothenate-Syn","phosphopantothenate biosynthesis I",0.990909090909091,"Y","conserved",0.00639374099879851,54,0.900749063670412,"Vitamin Syn"
"35","PENTOSE-P-PWY","binary_outcome","Ac-1",1.05659227277593,0.422361581484354,394,312,0.0128104861997377,0.0484092630320122,"Ac","Energy-Metabolism|Pentose-Phosphate-Cycle","Energy-Metabolism","Pentose-Phosphate-Cycle",NA,NA,"Pentose-Phosphate-Cycle"," ","pentose phosphate pathway",0.803030303030303,"N","all_low",0.00138243848108,159,0.704119850187266,"Energy metabolism"
"36","PHOSLIPSYN-PWY","binary_outcome","Ac-1",0.605047405056286,0.234367644767488,394,372,0.0102024517772039,0.0409887974908716,"Ac","Biosynthesis|Lipid-Biosynthesis|Phospholipid-Biosynthesis","Biosynthesis","Lipid-Biosynthesis","Phospholipid-Biosynthesis",NA,"Lipid-Syn","Phospholipid-Syn","superpathway of phospholipid biosynthesis I (bacteria)",0.948484848484848,"N","all_low",0.00205963136536673,121,0.775280898876405,"Lipid metabolism"
"37","PWY-1269","binary_outcome","Ac-1",0.866763737855627,0.263067842212584,394,371,0.0010786276217563,0.00674879031098889,"Ac","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|CMP-Sugar-Biosynthesis","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","SUGAR-NUCLEOTIDES","Carbohydrates-Syn","Carbo-Syn","CMP-3-deoxy-D-manno-octulosonate biosynthesis I",0.942424242424242,"N","all_low",0.00119656443273542,169,0.685393258426966,"Carbohydrate metabolism"
"38","PWY-2941","binary_outcome","Ac-1",-1.29966172178608,0.308853785973856,394,361,3.2388034644622e-05,0.000386294788209293,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","LYSINE-SYN","Amino-Acid-Syn","Lysine-Syn","L-lysine biosynthesis II",0.903030303030303,"N","variable",0.00308945480439053,88,0.837078651685393,"Amino acid metabolism"
"39","PWY-2942","binary_outcome","Ac-1",-0.344026318420366,0.0724864944301698,394,393,2.92260127386856e-06,5.22871634153047e-05,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","LYSINE-SYN","Amino-Acid-Syn","Lysine-Syn","L-lysine biosynthesis III",0.996969696969697,"Y","conserved",0.0135377883584011,17,0.970037453183521,"Amino acid metabolism"
"40","PWY-3781","binary_outcome","Ac-1",0.921061546207459,0.215876578548062,394,386,2.49684445321026e-05,0.000308065768811544,"Ac","Energy-Metabolism|Respiration|AEROBIC-RESPIRATION","Energy-Metabolism","Respiration","AEROBIC-RESPIRATION",NA,"Respiration","Aerobic-Respiration","aerobic respiration I (cytochrome c)",0.978787878787879,"Y","conserved",0.00276505255256773,97,0.820224719101124,"Energy metabolism"
"41","PWY-3841","binary_outcome","Ac-1",0.650980875120195,0.0933428000489846,394,393,1.41036695070514e-11,5.04646924549184e-10,"Ac","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Folate-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Folate-Biosynthesis","Vitamin-Syn","Folate-Syn","folate transformations II",0.996969696969697,"Y","conserved",0.0140895260355994,14,0.97565543071161,"Vitamin Syn"
"42","PWY-4242","binary_outcome","Ac-1",1.39186542176323,0.168498879196355,394,391,2.51875446250257e-15,1.10922071521748e-13,"Ac","Biosynthesis|Cofactor-Biosynthesis|CoA-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","CoA-Biosynthesis",NA,"Cofactor-Syn","Coa-Syn","pantothenate and coenzyme A biosynthesis III",0.990909090909091,"Y","conserved",0.0121711998175454,25,0.955056179775281,"Cofactor Syn"
"43","PWY-4981","binary_outcome","Ac-1",-1.06999244776754,0.111932582122293,394,389,1.73974286685796e-19,1.29630639176885e-17,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","PROLINE-SYN","Amino-Acid-Syn","Proline-Syn","L-proline biosynthesis II (from arginine)",0.984848484848485,"Y","conserved",0.00773166342283367,47,0.913857677902622,"Amino acid metabolism"
"44","PWY-5005","binary_outcome","Ac-1",1.37453582495601,0.335104402213842,394,372,5.03027473080867e-05,0.000570263818492666,"Ac","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|BIOTIN-SYN","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","BIOTIN-SYN","Vitamin-Syn","Biotin-Syn","biotin biosynthesis II",0.957575757575758,"Y","variable",0.00220815995547221,114,0.788389513108614,"Vitamin Syn"
"45","PWY-5028","binary_outcome","Ac-1",0.990863210597951,0.398701819920477,394,310,0.0133719293098558,0.0495497056950966,"Ac","Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|HISTIDINE-DEG","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation","HISTIDINE-DEG","Amino-Acid-Deg","Proteinogenic-Amino-Acids-Deg","L-histidine degradation II",0.796969696969697,"N","all_low",0.000908270106310832,189,0.647940074906367,"Amino acid metabolism"
"46","PWY-5083","binary_outcome","Ac-1",1.18556812726676,0.389244152074574,394,342,0.00249969033143265,0.0132506732846777,"Ac","Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism","Biosynthesis","Cofactor-Biosynthesis","NAD-Metabolism",NA,"Cofactor-Syn","Nad-Metabolism","NAD/NADH phosphorylation and dephosphorylation",0.875757575757576,"N","all_low",0.000755244468085813,199,0.629213483146067,"Cofactor Syn"
"47","PWY-5097","binary_outcome","Ac-1",0.752793834040419,0.0889028056514073,394,393,5.8828133606751e-16,2.80659220748875e-14,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","LYSINE-SYN","Amino-Acid-Syn","Lysine-Syn","L-lysine biosynthesis VI",0.996969696969697,"Y","conserved",0.0135123238323486,18,0.968164794007491,"Amino acid metabolism"
"48","PWY-5100","binary_outcome","Ac-1",0.639283599422735,0.192556569346304,394,390,0.000989707830505761,0.00636637902207357,"Ac","Energy-Metabolism|Fermentation|Pyruvate-Degradation","Energy-Metabolism","Fermentation","Pyruvate-Degradation",NA,"Fermentation","Pyruvate-Deg","pyruvate fermentation to acetate and lactate II",0.993939393939394,"Y","conserved",0.00322083923545143,84,0.844569288389513,"Energy metabolism"
"49","PWY-5103","binary_outcome","Ac-1",-0.869190593852232,0.105687393189055,394,392,2.99931463486076e-15,1.2719315766354e-13,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","ISOLEUCINE-SYN","Amino-Acid-Syn","Isoleucine-Syn","L-isoleucine biosynthesis III",0.993939393939394,"Y","conserved",0.00730168470823044,51,0.906367041198502,"Amino acid metabolism"
"50","PWY-5121","binary_outcome","Ac-1",1.30090411023279,0.324521609713099,394,348,7.3293581614937e-05,0.000801915900251924,"Ac","Biosynthesis|Cofactor-Biosynthesis|Polyprenyl-Biosynthesis|GGPP-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Polyprenyl-Biosynthesis","GGPP-Biosynthesis","Cofactor-Syn","Polyprenyl-Syn","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0.890909090909091,"N","all_low",0.00236104321907833,109,0.797752808988764,"Cofactor Syn"
"51","PWY-5136","binary_outcome","Ac-1",0.822407401236203,0.240134855486832,394,383,0.000681221196487037,0.00478526545998563,"Ac","Degradation|Fatty-Acid-and-Lipid-Degradation|Fatty-Acid-Degradation","Degradation","Fatty-Acid-and-Lipid-Degradation","Fatty-Acid-Degradation",NA,"Fatty-Acid&Lipid-Deg","Fatty-Acid-Deg","fatty acid &beta;-oxidation II (peroxisome)",0.972727272727273,"Y","conserved",0.00251331351488892,102,0.810861423220974,"Lipid metabolism"
"52","PWY-5138","binary_outcome","Ac-1",1.37776644227908,0.343529115180355,394,368,7.35381393244123e-05,0.000801915900251924,"Ac","Degradation|Fatty-Acid-and-Lipid-Degradation|Fatty-Acid-Degradation","Degradation","Fatty-Acid-and-Lipid-Degradation","Fatty-Acid-Degradation",NA,"Fatty-Acid&Lipid-Deg","Fatty-Acid-Deg","unsaturated, even numbered fatty acid &beta;-oxidation",0.945454545454545,"N","all_low",0.00121457461442079,165,0.692883895131086,"Lipid metabolism"
"53","PWY-5154","binary_outcome","Ac-1",0.646151667301934,0.181263270899072,394,386,0.000411901615042883,0.0030899767024351,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ARGININE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","ARGININE-SYN","Amino-Acid-Syn","Arginine-Syn","L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.978787878787879,"Y","conserved",0.00323881877786502,82,0.848314606741573,"Amino acid metabolism"
"54","PWY-5188","binary_outcome","Ac-1",-0.56801900003995,0.0844322830022373,394,392,6.7387099785002e-11,2.20452083582364e-09,"Ac","Biosynthesis|Cofactor-Biosynthesis|Tetrapyrrole-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Tetrapyrrole-Biosynthesis",NA,"Cofactor-Syn","Tetrapyrrole-Syn","tetrapyrrole biosynthesis I (from glutamate)",0.993939393939394,"Y","conserved",0.00993491257773779,29,0.947565543071161,"Cofactor Syn"
"55","PWY-5347","binary_outcome","Ac-1",1.1566520386107,0.414977379959295,394,284,0.00560672059961208,0.0258858672844993,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Amino-Acid-Syn","Methionine-Syn","superpathway of L-methionine biosynthesis (transsulfuration)",0.736363636363636,"N","all_low",0.00108284512090405,175,0.674157303370786,"Amino acid metabolism"
"56","PWY-5464","binary_outcome","Ac-1",0.86683906318879,0.347705708201978,394,327,0.0131030100780844,0.0490292370568845,"Ac","Energy-Metabolism","Energy-Metabolism",NA,NA,NA,"Other Energy-Metabolism"," ","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",0.845454545454545,"N","all_low",0.00138331396723048,158,0.705992509363296,"Energy metabolism"
