"","Site","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"47","Fo","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",-0.163225113899202,0.0431826580580796,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.287458031530272
"48","Ch","Hair_covering_frequency_Ocassionally","1",46,"0","Hair_covering_frequency_Ocassionally1",-1.06875932551841,0.0559010474466087,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Ocassionally)","SkinBehavior",0.295033305968213
"49","Ch","Hair_length_<_5cm","``1",65,"0","`Hair_length_<_5cm`1",-0.881001251657646,0.0506129776313849,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.295033305968213
"50","Ch","Hair_covering_frequency_Daily","1",28,"0","Hair_covering_frequency_Daily1",0.876408145596255,0.0537777146028822,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.295033305968213
"51","Fo","Hair_chemical_treatment_last_time_<_1_week_ago","``1",11,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",1.22595171104469,0.0633928407445837,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.301115993536773
"52","Ps","Hair_length_<_5cm","``1",66,"0","`Hair_length_<_5cm`1",-1.02296466564259,0.0222032667743213,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.301330049080075
"53","Ps","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.18666672733282,0.0190486714105212,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinSubclinical",0.301330049080075
"54","Ch","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",-0.132592489163325,0.0630435638764832,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.315217819382416
"55","Fo","Antibiotic_use_in_the_last_month_Yes","1",12,"0","Antibiotic_use_in_the_last_month_Yes1",1.08618976866974,0.093063244732551,"Antibiotic_use_in_the_last_month","SkinTreatment","General","Character","Antibiotic use in the last month","SkinDisease",0.315750294628298
"56","Fo","Sensitive_scalp_Yes","1",16,"0","Sensitive_scalp_Yes1",1.00969190696315,0.0814107139309106,"Sensitive_scalp","SkinSensitivity","Scalp","Character","Sensitive scalp","SkinSubclinical",0.315750294628298
"57","Fo","Sensitive_legs_Yes","1",21,"0","Sensitive_legs_Yes1",0.895271364651826,0.0905888082127565,"Sensitive_legs","SkinSensitivity","Legs","Character","Sensitive legs","SkinSubclinical",0.315750294628298
"58","Fo","Routinely_shave_bikine_line_last_time_Yesterday","1",30,"0","Routinely_shave_bikine_line_last_time_Yesterday1",0.836511494102515,0.0750288203041868,"Routinely_shave_bikine_line_last_time","SkinBehavior","Pubic","Character","Routinely shave bikine line last time (Yesterday)","SkinBehavior",0.315750294628298
"59","Fo","Currently_have_a_skin_condition_Yes","1",36,"0","Currently_have_a_skin_condition_Yes1",0.759105148353157,0.0901758190928213,"Currently_have_a_skin_condition","SkinCondition","General","Character","Currently have a skin condition","SkinDisease",0.315750294628298
"60","Fo","History_of_skin_medical_treatment_Yes","1",46,"0","History_of_skin_medical_treatment_Yes1",0.737164065972374,0.0797427863031292,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.315750294628298
"61","Fo","Irritation_heat_1_to_10","NotApplicable",999,"NotApplicable","Irritation_heat_1_to_10",0.308241702515415,0.0712082066680756,"Irritation_heat_1_to_10","SkinIrritation","General","Numeric","Irritation heat 1 to 10","SkinSubclinical",0.315750294628298
"62","Fo","Irritation_general_1_to_10","NotApplicable",999,"NotApplicable","Irritation_general_1_to_10",0.203771852230584,0.0846854771581498,"Irritation_general_1_to_10","SkinIrritation","General","Numeric","Irritation general 1 to 10","SkinSubclinical",0.315750294628298
"63","Fo","Surface_hydration_forearm","NotApplicable",999,"NotApplicable","Surface_hydration_forearm",-0.0284688725976906,0.0970690994599838,"Surface_hydration_forearm","SkinPhysio","Forearm","Numeric","Surface hydration forearm","SkinPhysio",0.317984980989602
"64","Ps","Suffered_from_dry_skin_in_the_last_year_Yes","1",52,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",0.823200308808989,0.0278416371166617,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinSubclinical",0.330619440760358
"65","Ub","Sensitive_other_site_Yes","1",13,"0","Sensitive_other_site_Yes1",1.30306370697015,0.0317865037974764,"Sensitive_other_site","SkinSensitivity","Other_site","Character","Sensitive other site","SkinSubclinical",0.335524206751139
"66","Ub","Current_skin_condition_severity_Moderate","1",17,"0","Current_skin_condition_severity_Moderate1",1.18562366565772,0.0310940917226522,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.335524206751139
"67","Ub","Hair_length_<_5cm","``1",66,"0","`Hair_length_<_5cm`1",-1.13383372363039,0.0270023776089995,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.335524206751139
"68","Ub","Hair_wash_last_time_Yesterday_evening","1",90,"0","Hair_wash_last_time_Yesterday_evening1",-0.878371480033746,0.0376380979653841,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.33838908326107
"69","Ub","Irritation_burning_1_to_10","NotApplicable",999,"NotApplicable","Irritation_burning_1_to_10",0.688374434241637,0.0463058745515148,"Irritation_burning_1_to_10","SkinIrritation","General","Numeric","Irritation burning 1 to 10","SkinSubclinical",0.33838908326107
"70","Ub","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",0.591162955981906,0.0402989235139806,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinSubclinical",0.33838908326107
"71","Ub","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",-0.041311247630379,0.0448419049919463,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.33838908326107
"72","Fo","Current_skin_condition_severity_Moderate","1",17,"0","Current_skin_condition_severity_Moderate1",0.916290731875557,0.109728698324481,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.341489868071716
"73","Fo","Routinely_use_underarm_whitening_product_Yes","1",77,"0","Routinely_use_underarm_whitening_product_Yes1",0.626493491353249,0.111433535897086,"Routinely_use_underarm_whitening_product","SkinBehavior","Underarm","Character","Routinely use underarm whitening product","SkinBehavior",0.341489868071716
"74","Ll","Currently_have_fungal_FeetBodyGroin_Yes","1",12,"0","Currently_have_fungal_FeetBodyGroin_Yes1",1.83708258577438,0.00373921252934185,"Currently_have_fungal_FeetBodyGroin","SkinCondition","General","Character","Currently have fungal FeetBodyGroin","SkinDisease",0.355225190287476
"75","Ch","Routinely_use_moisturizers_Yes","1",97,"0","Routinely_use_moisturizers_Yes1",0.658279911766387,0.0784307206738683,"Routinely_use_moisturizers","SkinBehavior","General","Character","Routinely use moisturizers","SkinBehavior",0.372545923200875
"76","Ch","Swimming_regularly_Yes","1",24,"0","Swimming_regularly_Yes1",-1.79175938111302,0.0844097850023548,"Swimming_regularly","SkinBehavior","General","Character","Swimming regularly","SkinBehavior",0.381853789296367
"77","Fo","TEWL_forearm","NotApplicable",999,"NotApplicable","TEWL_forearm",-0.246312367902402,0.132715153387321,"TEWL_forearm","SkinPhysio","Forearm","Numeric","TEWL forearm","SkinPhysio",0.393998111618609
"78","Ub","Hair_length_>_5cm","``1",126,"0","`Hair_length_>_5cm`1",0.847499862060912,0.0630487706474334,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.399308880767078
"79","Ub","Age","NotApplicable",999,"NotApplicable","Age",0.0330737028796846,0.0612906743761237,"Age","Demographic","Demographics","Numeric","Age","Demographic",0.399308880767078
"80","Ub","Hair_chemical_treatment_last_time_<_1_week_ago","``1",11,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",1.18335351712321,0.0727231232354355,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.406393923962728
"81","Ub","Routinely_use_underarm_whitening_product_Yes","1",77,"0","Routinely_use_underarm_whitening_product_Yes1",0.703647415121704,0.07064031295369,"Routinely_use_underarm_whitening_product","SkinBehavior","Underarm","Character","Routinely use underarm whitening product","SkinBehavior",0.406393923962728
"82","Ub","Body_odor_overall_Yes","1",43,"0","Body_odor_overall_Yes1",-1.11337590896519,0.0785964874614179,"Body_odor_overall","BodyOdour","General","Character","Body odor overall","SkinSubclinical",0.410531654598682
"83","Ub","Hair_wash_last_time_>_2_days_ago","``1",20,"0","`Hair_wash_last_time_>_2_days_ago`1",0.925043522984903,0.0821063309197363,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (> 2 days ago)","SkinBehavior",0.410531654598682
"84","Fo","Hair_covering_frequency_Daily","1",28,"0","Hair_covering_frequency_Daily1",0.713766467765476,0.144240086938055,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.415236613912582
"85","Fo","Routinely_use_underarm_deodorant_Yes","1",50,"0","Routinely_use_underarm_deodorant_Yes1",0.598413757475605,0.15175938501896,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.424033575788272
"86","Ub","Healthy_scalp_Yes","1",126,"0","Healthy_scalp_Yes1",-0.657429097936436,0.0913531835304533,"Healthy_scalp","SkinHealth","Scalp","Character","Healthy scalp","SkinSubclinical",0.433927621769653
"87","Ch","Sensitive_skin_overall_Yes","1",68,"0","Sensitive_skin_overall_Yes1",0.606135803573277,0.102154938825552,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinSubclinical",0.441123599473974
"88","Fo","Currently_use_hair_loss_treatment_product_Yes","1",19,"0","Currently_use_hair_loss_treatment_product_Yes1",0.749236647213888,0.18285201552347,"Currently_use_hair_loss_treatment_product","SkinTreatment","Scalp","Character","Currently use hair loss treatment product","SkinDisease",0.442745138466097
"89","Fo","Ethnicity_South_East_Asian","1",40,"0","Ethnicity_South_East_Asian1",0.59217584532208,0.181167085642664,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South East Asian)","Demographic",0.442745138466097
"90","Fo","Monthly_household_income_>=_6K","``1",102,"0","`Monthly_household_income_>=_6K`1",-0.579818494949207,0.168126673343253,"Monthly_household_income","Demographics","Demographics","Character","Monthly household income (>= 6K)","Demographics",0.442745138466097
"91","Fo","Monthly_household_income_<_6K","``1",78,"0","`Monthly_household_income_<_6K`1",0.579818494949202,0.168126673343257,"Monthly_household_income","Demographics","Demographics","Character","Monthly household income (< 6K)","Demographics",0.442745138466097
"92","Fo","Routinely_shave_underarms_Yes","1",63,"0","Routinely_shave_underarms_Yes1",0.533239218599348,0.1837999313266,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.442745138466097
"93","Fo","Irritation_burning_1_to_10","NotApplicable",999,"NotApplicable","Irritation_burning_1_to_10",0.32161976211087,0.186419005669936,"Irritation_burning_1_to_10","SkinIrritation","General","Numeric","Irritation burning 1 to 10","SkinSubclinical",0.442745138466097
"94","Ub","Body_odor_underarm_Yes","1",41,"0","Body_odor_underarm_Yes1",-1.04645729668043,0.0987971204396898,"Body_odor_underarm","BodyOdour","Underarm","Character","Body odor underarm","SkinSubclinical",0.446939354370025
"95","Ch","Ethnicity_South_East_Asian","1",40,"0","Ethnicity_South_East_Asian1",0.655304827379259,0.113487638148723,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South East Asian)","Demographic",0.449221901005362
"96","Ch","Hair_wash_last_time_Yesterday_evening","1",89,"0","Hair_wash_last_time_Yesterday_evening1",0.585025503463164,0.112095856300592,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.449221901005362
"97","Ub","Body_odor_total_areas","NotApplicable",999,"NotApplicable","Body_odor_total_areas",-0.762999316087321,0.109268128352221,"Body_odor_total_areas","BodyOdour","General","Numeric","Body odor total areas","SkinSubclinical",0.451324877976567
"98","Ub","Hair_covering_frequency_Never","1",125,"0","Hair_covering_frequency_Never1",-0.630904871667164,0.104940762172458,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Never)","SkinBehavior",0.451324877976567
"99","Ps","Itchy_arms_Yes","1",26,"0","Itchy_arms_Yes1",0.885851086396197,0.0527922328167416,"Itchy_arms","SkinItch","Arms","Character","Itchy arms","SkinSubclinical",0.45593291978095
"100","Ps","History_of_skin_medical_treatment_Yes","1",46,"0","History_of_skin_medical_treatment_Yes1",0.759411975253618,0.0491521524155444,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.45593291978095
"101","Ps","PH_forearm","NotApplicable",999,"NotApplicable","PH_forearm",0.697824007024937,0.0464357847553426,"PH_forearm","SkinPhysio","Forearm","Numeric","PH forearm","SkinPhysio",0.45593291978095
"102","Ps","Ethnicity_South_East_Asian","1",39,"0","Ethnicity_South_East_Asian1",0.73966719619568,0.0674936750498614,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South East Asian)","Demographic",0.457992794981206
"103","Ps","Sensitive_face_Yes","1",39,"0","Sensitive_face_Yes1",0.739667196195677,0.0674936750498619,"Sensitive_face","SkinSensitivity","Face","Character","Sensitive face","SkinSubclinical",0.457992794981206
"104","Ps","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",0.512808339820943,0.0648793474338435,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinSubclinical",0.457992794981206
"105","Ps","Ethnicity_South_Asian","1",40,"0","Ethnicity_South_Asian1",-0.968559143442847,0.0837267748913838,"Ethnicity","Demographic","Demographics","Character","Ethnicity (South Asian)","Demographic",0.467884918510674
"106","Ps","Hair_covering_frequency_Ocassionally","1",46,"0","Hair_covering_frequency_Ocassionally1",-0.888797588688056,0.0821529001347596,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Ocassionally)","SkinBehavior",0.467884918510674
"107","Ps","Irritation_burning_1_to_10","NotApplicable",999,"NotApplicable","Irritation_burning_1_to_10",0.541634756445144,0.0746076251700359,"Irritation_burning_1_to_10","SkinIrritation","General","Numeric","Irritation burning 1 to 10","SkinSubclinical",0.467884918510674
"108","Ll","Sensitive_arms_Yes","1",19,"0","Sensitive_arms_Yes1",1.41784270372567,0.0102923045909165,"Sensitive_arms","SkinSensitivity","Arms","Character","Sensitive arms","SkinSubclinical",0.476859500255365
"109","Ll","Current_skin_condition_severity_Moderate","1",17,"0","Current_skin_condition_severity_Moderate1",1.26768861276922,0.030213175345428,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.476859500255365
"110","Ll","Body_sites_affected_by_eczema_Hands_and_feet","1",19,"0","Body_sites_affected_by_eczema_Hands_and_feet1",1.10111541428629,0.0553763439318908,"Body_sites_affected_by_eczema","SkinCondition","General","Character","Body sites affected by eczema (Hands and feet)","SkinDisease",0.476859500255365
"111","Ll","Currently_have_skin_conditions_not_described_above_Yes","1",170,"0","Currently_have_skin_conditions_not_described_above_Yes1",-1.0986122716923,0.0298505703776462,"Currently_have_skin_conditions_not_described_above","SkinCondition","General","Character","Currently have skin conditions not described above","SkinDisease",0.476859500255365
"112","Ll","Monthly_household_income_<_6K","``1",78,"0","`Monthly_household_income_<_6K`1",1.07755887946031,0.0280169279684699,"Monthly_household_income","Demographics","Demographics","Character","Monthly household income (< 6K)","Demographics",0.476859500255365
"113","Ll","Monthly_household_income_>=_6K","``1",101,"0","`Monthly_household_income_>=_6K`1",-1.07755887946031,0.0280169279684709,"Monthly_household_income","Demographics","Demographics","Character","Monthly household income (>= 6K)","Demographics",0.476859500255365
