"Taxa","Taxa_category","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"s__Malassezia_slooffiae","Fungi","Ethnicity_South_East_Asian","1",5,"0","Ethnicity_South_East_Asian1",2.71111111111111,0.00675312481589543,"Ethnicity","Demographics","Demographics","Character","Ethnicity (South East Asian)","Demographics",0.131876137403498
"s__Malassezia_slooffiae","Fungi","Routinely_shave_underarms_Yes","1",6,"0","Routinely_shave_underarms_Yes1",2.48717948717949,0.00766721729090106,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.131876137403498
"s__Betapapillomavirus_2","Eukaryotic virus","Itchy_skin_in_the_last_week_severity_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_severity_1_to_10",0.491573033707865,0.00512765051144768,"Itchy_skin_in_the_last_week_severity_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week severity 1 to 10","SkinDiscomfort",0.143574214320535
"s__Cutibacterium_phage_P14_4","Bacteriophage","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",0.291442250149611,0.0110778772924862,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinDiscomfort",0.208264093098741
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_remove_body_hair_Yes","1",7,"0","Routinely_remove_body_hair_Yes1",-2.28571428571429,0.00617465569612225,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.213025621516217
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_shave_underarms_Yes","1",7,"0","Routinely_shave_underarms_Yes1",-2.28571428571429,0.00617465569612225,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.213025621516217
"s__Cutibacterium_phage_P14_4","Bacteriophage","Body_wash_last_time_Yesterday_evening","1",14,"0","Body_wash_last_time_Yesterday_evening1",-0.82010582010582,0.0167131614938589,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.224433882917535
"s__Cutibacterium_phage_P14_4","Bacteriophage","Body_wash_last_time_This_morning","1",27,"0","Body_wash_last_time_This_morning1",0.82010582010582,0.016713161493859,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.224433882917535
"s__Gordonia_otitidis","Bacteria","Routinely_use_underarm_deodorant_Yes","1",7,"0","Routinely_use_underarm_deodorant_Yes1",2.9327731092437,0.0031382001948867,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.24791781539605
"s__Polyomavirus_HPyV6","Eukaryotic virus","Age","NotApplicable",999,"NotApplicable","Age",0.115388048776133,0.00290805658740157,"Age","Demographics","Demographics","Numeric","Age","Demographics",0.25881703627874
"s__Betapapillomavirus_2","Eukaryotic virus","Itchy_trunk_Yes","1",3,"0","Itchy_trunk_Yes1",2.38461538461539,0.03383188810224,"Itchy_trunk","SkinItch","Trunk","Character","Itchy trunk","SkinDiscomfort",0.27065510481792
"s__Betapapillomavirus_2","Eukaryotic virus","Topical_antimicrobial_use_in_the_last_month_Yes","1",3,"0","Topical_antimicrobial_use_in_the_last_month_Yes1",2.38461538461539,0.03383188810224,"Topical_antimicrobial_use_in_the_last_month","SkinTreatment","General","Character","Topical antimicrobial use in the last month","SkinDisease",0.27065510481792
"s__Betapapillomavirus_2","Eukaryotic virus","Suffered_from_dry_skin_in_the_last_year_Yes","1",3,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",2.38461538461539,0.03383188810224,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinDiscomfort",0.27065510481792
"s__Betapapillomavirus_2","Eukaryotic virus","Itchy_skin_in_the_last_week_Yes","1",5,"0","Itchy_skin_in_the_last_week_Yes1",2.23636363636364,0.0155374511108189,"Itchy_skin_in_the_last_week","SkinItch","General","Character","Itchy skin in the last week","SkinDiscomfort",0.27065510481792
"s__Betapapillomavirus_2","Eukaryotic virus","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",0.0587882668701208,0.0213802103104782,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.27065510481792
"s__Cutibacterium_phage_P14_4","Bacteriophage","Current_skin_condition_severity_Moderate","1",3,"0","Current_skin_condition_severity_Moderate1",1.42105263157895,0.0232842783145292,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.273590270195719
"s__Malassezia_slooffiae","Fungi","Hair_covering_frequency_Daily","1",3,"0","Hair_covering_frequency_Daily1",2.96551724137931,0.0191359972939735,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.274282627880287
"s__Polyomavirus_HPyV7","Eukaryotic virus","Routinely_shave_underarms_Yes","1",7,"0","Routinely_shave_underarms_Yes1",2.04761904761905,0.0151722012799217,"Routinely_shave_underarms","SkinBehavior","Underarm","Character","Routinely shave underarms","SkinBehavior",0.292064874638493
"s__Polyomavirus_HPyV7","Eukaryotic virus","Routinely_remove_body_hair_Yes","1",11,"0","Routinely_remove_body_hair_Yes1",1.84491978609626,0.0134085612787085,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.292064874638493
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_chemical_treatment_location_Professional","1",6,"0","Hair_chemical_treatment_location_Professional1",-2.87179487179488,0.0146675105491848,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Professional)","SkinBehavior",0.304350843895584
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_chemical_treatment_Yes","1",14,"0","Hair_chemical_treatment_Yes1",-2.53968253968254,0.00537726157318897,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.304350843895584
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Gender_Female","1",20,"0","Gender_Female1",-2.4,0.0110836124323787,"Gender","Demographics","Demographics","Character","Gender (Female)","Demographics",0.304350843895584
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Gender_Male","1",12,"0","Gender_Male1",2.4,0.0110836124323787,"Gender","Demographics","Demographics","Character","Gender (Male)","Demographics",0.304350843895584
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Sensitive_face_Yes","1",8,"0","Sensitive_face_Yes1",-2.5,0.0188527011682969,"Sensitive_face","SkinSensitivity","Face","Character","Sensitive face","SkinDiscomfort",0.312954839393729
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_use_underarm_deodorant_Yes","1",5,"0","Routinely_use_underarm_deodorant_Yes1",-2.1125,0.0269951468332413,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.334621269929436
"s__Human_papillomavirus_type_134","Eukaryotic virus","Ever_had_acne_Yes","1",8,"0","Ever_had_acne_Yes1",-1.91346153846154,0.0217232636167686,"Ever_had_acne","SkinCondition","General","Character","Ever had acne","SkinDisease",0.334621269929436
"s__Human_papillomavirus_type_134","Eukaryotic virus","Current_or_past_acne_severity_Mild","1",7,"0","Current_or_past_acne_severity_Mild1",-1.85714285714286,0.0320612691955991,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Mild)","SkinDisease",0.334621269929436
"s__Human_papillomavirus_type_134","Eukaryotic virus","Hair_covering_frequency_Never","1",11,"0","Hair_covering_frequency_Never1",1.73636363636364,0.0339470853551602,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Never)","SkinBehavior",0.334621269929436
"s__Human_papillomavirus_type_134","Eukaryotic virus","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",-0.0792554313435984,0.026909359469439,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.334621269929436
"s__Cutibacterium_phage_P14_4","Bacteriophage","Routine_cosmetic_use_on_face_Yes","1",10,"0","Routine_cosmetic_use_on_face_Yes1",0.816129032258065,0.0322796325089536,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.337142828426849
"s__Polyomavirus_HPyV7","Eukaryotic virus","Routinely_shave_underarms_last_time_Today","1",3,"0","Routinely_shave_underarms_last_time_Today1",2.68,0.024290923356816,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Today)","SkinBehavior",0.348307543319451
"s__Polyomavirus_HPyV7","Eukaryotic virus","Routinely_use_underarm_whitening_product_Yes","1",10,"0","Routinely_use_underarm_whitening_product_Yes1",1.7,0.0271408475313858,"Routinely_use_underarm_whitening_product","SkinBehavior","Underarm","Character","Routinely use underarm whitening product","SkinBehavior",0.348307543319451
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Itchy_skin_in_the_last_week_Yes","1",11,"0","Itchy_skin_in_the_last_week_Yes1",2.14718614718615,0.0277980937664867,"Itchy_skin_in_the_last_week","SkinItch","General","Character","Itchy skin in the last week","SkinDiscomfort",0.361422208361079
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Itchy_total_areas","NotApplicable",999,"NotApplicable","Itchy_total_areas",0.937882764654418,0.0329649199414135,"Itchy_total_areas","SkinItch","General","Numeric","Itchy total areas","SkinDiscomfort",0.361422208361079
"s__Merkel_cell_polyomavirus","Eukaryotic virus","TEWL_cheek","NotApplicable",999,"NotApplicable","TEWL_cheek",0.25424921399338,0.0348358755046823,"TEWL_cheek","SkinPhysio","Cheek","Numeric","TEWL cheek","SkinPhysio",0.361422208361079
"s__Malassezia_slooffiae","Fungi","Routinely_remove_body_hair_Yes","1",10,"0","Routinely_remove_body_hair_Yes1",1.72727272727273,0.0311680173229943,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.382921355682502
"s__Cutibacterium_phage_P14_4","Bacteriophage","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.182417974322397,0.0424288608904018,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinDiscomfort",0.398831292369777
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Itchy_skin_overall_Yes","1",9,"0","Itchy_skin_overall_Yes1",2.08695652173913,0.0443287837942846,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinDiscomfort",0.408809894991736
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Face_wash_last_time_This_morning","1",30,"0","Face_wash_last_time_This_morning1",-3.73333333333334,0.0533896684568527,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (This morning)","SkinBehavior",0.435585979054811
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_length_<_5cm","``1",8,"0","`Hair_length_<_5cm`1",2,0.0648545087415597,"Hair_length","SkinBehavior","Scalp","Character","Hair length (< 5cm)","SkinBehavior",0.435585979054811
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_length_>_5cm","``1",24,"0","`Hair_length_>_5cm`1",-2,0.0648545087415598,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.435585979054811
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Irritation_tingling_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tingling_1_to_10",1.20231213872833,0.0682243099724403,"Irritation_tingling_1_to_10","SkinIrritation","General","Numeric","Irritation tingling 1 to 10","SkinDiscomfort",0.435585979054811
"s__Dermacoccus_sp_Ellin185","Bacteria","Swimming_regularly_Yes","1",4,"0","Swimming_regularly_Yes1",2.39473684210526,0.0180725375408035,"Swimming_regularly","SkinBehavior","General","Character","Swimming regularly","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Swimming_location_Swimming_pool-_Chemically_treated_water","``1",4,"0","`Swimming_location_Swimming_pool-_Chemically_treated_water`1",2.39473684210526,0.0180725375408035,"Swimming_location","SkinBehavior","General","Character","Swimming location (Swimming pool- Chemically treated water)","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Hair_chemical_treatment_last_time_<_1_week_ago","``1",4,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",2.39473684210526,0.0180725375408037,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Currently_use_hair_loss_treatment_product_Yes","1",5,"0","Currently_use_hair_loss_treatment_product_Yes1",1.89189189189189,0.0411072803908456,"Currently_use_hair_loss_treatment_product","SkinTreatment","Scalp","Character","Currently use hair loss treatment product","SkinDisease",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Ever_have_had_eczema_Yes","1",8,"0","Ever_have_had_eczema_Yes1",-1.49264705882353,0.0512457319271271,"Ever_have_had_eczema","SkinCondition","General","Character","Ever have had eczema","SkinDisease",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Body_wash_last_time_This_morning","1",25,"0","Body_wash_last_time_This_morning1",1.35058823529412,0.0263903265486773,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (This morning)","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Body_wash_last_time_Yesterday_evening","1",17,"0","Body_wash_last_time_Yesterday_evening1",-1.35058823529412,0.0263903265486774,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Healthy_scalp_Yes","1",27,"0","Healthy_scalp_Yes1",-1.24444444444445,0.0471526210634783,"Healthy_scalp","SkinHealth","Scalp","Character","Healthy scalp","SkinDiscomfort",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","Hair_wash_last_time_Yesterday_evening","1",20,"0","Hair_wash_last_time_Yesterday_evening1",-1.20909090909091,0.0442756354104537,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday evening)","SkinBehavior",0.456087014151431
"s__Dermacoccus_sp_Ellin185","Bacteria","TEWL_forearm","NotApplicable",999,"NotApplicable","TEWL_forearm",0.582545167577393,0.041095160765444,"TEWL_forearm","SkinPhysio","Forearm","Numeric","TEWL forearm","SkinPhysio",0.456087014151431
"s__Cutibacterium_phage_P14_4","Bacteriophage","Currently_undergoing_skin_medical_treament_Yes","1",3,"0","Currently_undergoing_skin_medical_treament_Yes1",1.06140350877193,0.0950855672040098,"Currently_undergoing_skin_medical_treament","SkinTreatment","General","Character","Currently undergoing skin medical treament","SkinDisease",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Body_sites_affected_by_eczema_Hands_and_feet","1",3,"0","Body_sites_affected_by_eczema_Hands_and_feet1",1.06140350877193,0.0950855672040099,"Body_sites_affected_by_eczema","SkinCondition","General","Character","Body sites affected by eczema (Hands and feet)","SkinDisease",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Routinely_shave_bikine_line_last_time_Today","1",5,"0","Routinely_shave_bikine_line_last_time_Today1",0.816666666666667,0.106997510957766,"Routinely_shave_bikine_line_last_time","SkinBehavior","Pubic","Character","Routinely shave bikine line last time (Today)","SkinBehavior",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Topical_antimicrobial_use_in_the_last_month_Yes","1",6,"0","Topical_antimicrobial_use_in_the_last_month_Yes1",0.761904761904762,0.104231963206213,"Topical_antimicrobial_use_in_the_last_month","SkinTreatment","General","Character","Topical antimicrobial use in the last month","SkinDisease",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Sensitive_trunk_Yes","1",7,"0","Sensitive_trunk_Yes1",0.726890756302521,0.0987326402375456,"Sensitive_trunk","SkinSensitivity","Trunk","Character","Sensitive trunk","SkinDiscomfort",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Itchy_skin_in_the_last_week_Yes","1",8,"0","Itchy_skin_in_the_last_week_Yes1",0.704545454545456,0.0916590446013844,"Itchy_skin_in_the_last_week","SkinItch","General","Character","Itchy skin in the last week","SkinDiscomfort",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Current_or_past_acne_severity_Mild","1",11,"0","Current_or_past_acne_severity_Mild1",-0.684848484848485,0.0658527246375786,"Current_or_past_acne_severity","SkinCondition","General","Character","Current or past acne severity (Mild)","SkinDisease",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Ethnicity_East_Asian","1",21,"0","Ethnicity_East_Asian1",-0.619047619047619,0.06045379644292,"Ethnicity","Demographics","Demographics","Character","Ethnicity (East Asian)","Demographics",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Gender_Male","1",20,"0","Gender_Male1",-0.552380952380953,0.0954568032926455,"Gender","Demographics","Demographics","Character","Gender (Male)","Demographics",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Gender_Female","1",21,"0","Gender_Female1",0.552380952380952,0.0954568032926458,"Gender","Demographics","Demographics","Character","Gender (Female)","Demographics",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Irritation_tauntness_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tauntness_1_to_10",0.222916666666667,0.0774376487019927,"Irritation_tauntness_1_to_10","SkinIrritation","General","Numeric","Irritation tauntness 1 to 10","SkinDiscomfort",0.45717118318318
"s__Cutibacterium_phage_P14_4","Bacteriophage","Age","NotApplicable",999,"NotApplicable","Age",0.0273153536995146,0.0856439992390086,"Age","Demographics","Demographics","Numeric","Age","Demographics",0.45717118318318
"s__Malassezia_slooffiae","Fungi","Suffered_from_dry_skin_in_the_last_year_Yes","1",11,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",-1.58441558441558,0.0438214897060752,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinDiscomfort",0.471081014340309
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_chemical_treatment_last_time_>_1_week_ago","``1",11,"0","`Hair_chemical_treatment_last_time_>_1_week_ago`1",-1.73160173160173,0.0804305753459515,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (> 1 week ago)","SkinBehavior",0.47683841097957
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Hair_chemical_treatment_last_time_<_1_week_ago","``1",3,"0","`Hair_chemical_treatment_last_time_<_1_week_ago`1",-2.75862068965518,0.0877934435934399,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (< 1 week ago)","SkinBehavior",0.4857903878837
"s__Cutibacterium_phage_P14_4","Bacteriophage","Ethnicity_South_Asian","1",12,"0","Ethnicity_South_Asian1",0.566091954022988,0.120754300603942,"Ethnicity","Demographics","Demographics","Character","Ethnicity (South Asian)","Demographics",0.493517576381329
"s__Malassezia_slooffiae","Fungi","Routinely_use_underarm_deodorant_Yes","1",5,"0","Routinely_use_underarm_deodorant_Yes1",2,0.0523307103059275,"Routinely_use_underarm_deodorant","SkinBehavior","Underarm","Character","Routinely use underarm deodorant","SkinBehavior",0.500049009589974
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_shave_underarms_last_time_Yesterday","1",3,"0","Routinely_shave_underarms_last_time_Yesterday1",-2.11111111111111,0.0759021203387029,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Yesterday)","SkinBehavior",0.52372463033705
"s__Human_papillomavirus_type_134","Eukaryotic virus","Routinely_shave_bikine_line_Yes","1",4,"0","Routinely_shave_bikine_line_Yes1",-1.92647058823529,0.0685109771108126,"Routinely_shave_bikine_line","SkinBehavior","Pubic","Character","Routinely shave bikine line","SkinBehavior",0.52372463033705
"s__Human_papillomavirus_type_134","Eukaryotic virus","Suffered_from_dry_skin_in_the_last_year_Yes","1",6,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",1.66666666666667,0.069947085879495,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinDiscomfort",0.52372463033705
"s__Dermacoccus_sp_Ellin185","Bacteria","Sensitive_arms_Yes","1",3,"0","Sensitive_arms_Yes1",-2.15384615384616,0.0657498622237287,"Sensitive_arms","SkinSensitivity","Arms","Character","Sensitive arms","SkinDiscomfort",0.528006038766568
"s__Dermacoccus_sp_Ellin185","Bacteria","Itchy_trunk_Yes","1",6,"0","Itchy_trunk_Yes1",-1.55555555555556,0.0711918254516721,"Itchy_trunk","SkinItch","Trunk","Character","Itchy trunk","SkinDiscomfort",0.528006038766568
"s__Dermacoccus_sp_Ellin185","Bacteria","Itchy_skin_overall_Yes","1",13,"0","Itchy_skin_overall_Yes1",-1.15119363395226,0.0780061718808265,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinDiscomfort",0.534042253645658
"s__Cutibacterium_phage_P14_4","Bacteriophage","Sensitive_skin_overall_Yes","1",19,"0","Sensitive_skin_overall_Yes1",0.492822966507177,0.139325153207276,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinDiscomfort",0.545690183395165
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Itchy_arms_Yes","1",4,"0","Itchy_arms_Yes1",2.28571428571428,0.109560347030443,"Itchy_arms","SkinItch","Arms","Character","Itchy arms","SkinDiscomfort",0.549252804977581
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Ever_have_had_itchy_skin_Yes","1",16,"0","Ever_have_had_itchy_skin_Yes1",1.5,0.112497562465288,"Ever_have_had_itchy_skin","SkinItch","General","Character","Ever have had itchy skin","SkinDiscomfort",0.549252804977581
"s__Malassezia_slooffiae","Fungi","Sensitive_skin_overall_Yes","1",12,"0","Sensitive_skin_overall_Yes1",-1.43333333333333,0.0644844778674559,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinDiscomfort",0.55456650966012
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Sensitive_skin_overall_Yes","1",13,"0","Sensitive_skin_overall_Yes1",-1.48987854251012,0.121920471189558,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinDiscomfort",0.562188839374071
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Suffered_from_dry_skin_in_the_last_year_Yes","1",7,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",1.73714285714286,0.129302138457633,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinDiscomfort",0.564846183788606
"s__Williamsia_sp_D3","Bacteria","Routine_cosmetic_use_on_face_Yes","1",4,"0","Routine_cosmetic_use_on_face_Yes1",3.25,0.0135670680743007,"Routine_cosmetic_use_on_face","SkinBehavior","Face","Character","Routine cosmetic use on face","SkinBehavior",0.583383927194931
"s__Human_papillomavirus_type_134","Eukaryotic virus","History_of_skin_medical_treatment_Yes","1",4,"0","History_of_skin_medical_treatment_Yes1",1.77941176470588,0.094734127458126,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.594241344964608
"s__Polyomavirus_HPyV6","Eukaryotic virus","Age_when_itchy_skin_began_5_to_10_years_old","1",5,"0","Age_when_itchy_skin_began_5_to_10_years_old1",2.93513513513514,0.0134853127842503,"Age_when_itchy_skin_began","SkinItch","General","Character","Age when itchy skin began (5 to 10 years old)","SkinDiscomfort",0.600096418899138
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Itchy_trunk_Yes","1",5,"0","Itchy_trunk_Yes1",1.77777777777778,0.174391963139222,"Itchy_trunk","SkinItch","Trunk","Character","Itchy trunk","SkinDiscomfort",0.60310553918981
"s__Merkel_cell_polyomavirus","Eukaryotic virus","Body_wash_last_time_Yesterday_evening","1",9,"0","Body_wash_last_time_Yesterday_evening1",1.46859903381643,0.164408276414382,"Body_wash_last_time","SkinBehavior","Body","Character","Body wash last time (Yesterday evening)","SkinBehavior",0.60310553918981
